id,ref_id,left_id,right_id,compared_result,reason
229,6,9,13,1,"[[0,0,1,0.5,3],[1,0,1,0.5,1]]"
230,6,9,14,1,"[[0,0,1,0.5,3],[1,0,1,0.5,0]]"
231,6,10,11,1,"[[0,0,1,0.5,4],[1,0,1,0.5,2]]"
232,6,10,12,1,"[[0,0,1,0.5,4],[1,0,1,0.5,1]]"
233,6,10,13,1,"[[0,0,1,0.5,4],[1,0,1,0.5,1]]"
234,6,10,14,1,"[[0,0,1,0.5,4],[1,0,1,0.5,0]]"
235,6,11,12,-1,"[[1,0,1,0.5,2],[1,0,1,0.5,1]]"
236,6,11,13,-1,"[[1,0,1,0.5,2],[1,0,1,0.5,1]]"
237,6,11,14,-1,"[[1,0,1,0.5,2],[1,0,1,0.5,0]]"
238,6,12,13,0,"[[1,0,1,0.5,1],[1,0,1,0.5,1]]"
239,6,12,14,-1,"[[1,0,1,0.5,1],[1,0,1,0.5,0]]"
240,6,13,14,-1,"[[1,0,1,0.5,1],[1,0,1,0.5,0]]"
241,7,3,4,1,"[[0,0,1,0.5,2],[0,0,1,0.5,3]]"
242,7,3,5,1,"[[0,0,1,0.5,2],[0,0,1,0.5,3]]"
243,7,3,6,1,"[[0,0,1,0.5,2],[0,0,1,0.5,4]]"
244,7,3,8,-1,"[[0,0,1,0.5,2],[0,0,0,1,1]]"
245,7,3,9,-1,"[[0,0,1,0.5,2],[0,0,0,1,1]]"
246,7,3,10,-1,"[[0,0,1,0.5,2],[0,0,0,1,2]]"
247,7,3,11,1,"[[0,0,1,0.5,2],[1,0,0,1,2]]"
248,7,3,12,1,"[[0,0,1,0.5,2],[1,0,0,1,3]]"
249,7,3,13,1,"[[0,0,1,0.5,2],[1,0,0,1,3]]"
250,7,3,14,1,"[[0,0,1,0.5,2],[1,0,0,1,4]]"
251,7,4,5,0,"[[0,0,1,0.5,3],[0,0,1,0.5,3]]"
252,7,4,6,1,"[[0,0,1,0.5,3],[0,0,1,0.5,4]]"
253,7,4,8,-1,"[[0,0,1,0.5,3],[0,0,0,1,1]]"
254,7,4,9,-1,"[[0,0,1,0.5,3],[0,0,0,1,1]]"
255,7,4,10,-1,"[[0,0,1,0.5,3],[0,0,0,1,2]]"
256,7,4,11,1,"[[0,0,1,0.5,3],[1,0,0,1,2]]"
257,7,4,12,1,"[[0,0,1,0.5,3],[1,0,0,1,3]]"
258,7,4,13,1,"[[0,0,1,0.5,3],[1,0,0,1,3]]"
259,7,4,14,1,"[[0,0,1,0.5,3],[1,0,0,1,4]]"
260,7,5,6,1,"[[0,0,1,0.5,3],[0,0,1,0.5,4]]"
261,7,5,8,-1,"[[0,0,1,0.5,3],[0,0,0,1,1]]"
262,7,5,9,-1,"[[0,0,1,0.5,3],[0,0,0,1,1]]"
263,7,5,10,-1,"[[0,0,1,0.5,3],[0,0,0,1,2]]"
264,7,5,11,1,"[[0,0,1,0.5,3],[1,0,0,1,2]]"
265,7,5,12,1,"[[0,0,1,0.5,3],[1,0,0,1,3]]"
266,7,5,13,1,"[[0,0,1,0.5,3],[1,0,0,1,3]]"
267,7,5,14,1,"[[0,0,1,0.5,3],[1,0,0,1,4]]"
268,7,6,8,-1,"[[0,0,1,0.5,4],[0,0,0,1,1]]"
269,7,6,9,-1,"[[0,0,1,0.5,4],[0,0,0,1,1]]"
270,7,6,10,-1,"[[0,0,1,0.5,4],[0,0,0,1,2]]"
271,7,6,11,1,"[[0,0,1,0.5,4],[1,0,0,1,2]]"
272,7,6,12,1,"[[0,0,1,0.5,4],[1,0,0,1,3]]"
273,7,6,13,1,"[[0,0,1,0.5,4],[1,0,0,1,3]]"
274,7,6,14,1,"[[0,0,1,0.5,4],[1,0,0,1,4]]"
275,7,8,9,0,"[[0,0,0,1,1],[0,0,0,1,1]]"
276,7,8,10,1,"[[0,0,0,1,1],[0,0,0,1,2]]"
277,7,8,11,1,"[[0,0,0,1,1],[1,0,0,1,2]]"
278,7,8,12,1,"[[0,0,0,1,1],[1,0,0,1,3]]"
279,7,8,13,1,"[[0,0,0,1,1],[1,0,0,1,3]]"
280,7,8,14,1,"[[0,0,0,1,1],[1,0,0,1,4]]"
281,7,9,10,1,"[[0,0,0,1,1],[0,0,0,1,2]]"
282,7,9,11,1,"[[0,0,0,1,1],[1,0,0,1,2]]"
283,7,9,12,1,"[[0,0,0,1,1],[1,0,0,1,3]]"
284,7,9,13,1,"[[0,0,0,1,1],[1,0,0,1,3]]"
285,7,9,14,1,"[[0,0,0,1,1],[1,0,0,1,4]]"
286,7,10,11,1,"[[0,0,0,1,2],[1,0,0,1,2]]"
287,7,10,12,1,"[[0,0,0,1,2],[1,0,0,1,3]]"
288,7,10,13,1,"[[0,0,0,1,2],[1,0,0,1,3]]"
289,7,10,14,1,"[[0,0,0,1,2],[1,0,0,1,4]]"
290,7,11,12,1,"[[1,0,0,1,2],[1,0,0,1,3]]"
291,7,11,13,1,"[[1,0,0,1,2],[1,0,0,1,3]]"
292,7,11,14,1,"[[1,0,0,1,2],[1,0,0,1,4]]"
293,7,12,13,0,"[[1,0,0,1,3],[1,0,0,1,3]]"
294,7,12,14,1,"[[1,0,0,1,3],[1,0,0,1,4]]"
295,7,13,14,1,"[[1,0,0,1,3],[1,0,0,1,4]]"
296,8,3,4,1,"[[0,0,1,0.5,3],[0,0,1,0.5,4]]"
297,8,3,5,1,"[[0,0,1,0.5,3],[0,0,1,0.5,4]]"
298,8,3,6,1,"[[0,0,1,0.5,3],[0,0,1,0.5,5]]"
299,8,3,7,-1,"[[0,0,1,0.5,3],[0,0,0,1,1]]"
300,8,3,9,-1,"[[0,0,1,0.5,3],[0,0,0,1,2]]"
301,8,3,10,-1,"[[0,0,1,0.5,3],[0,0,0,1,1]]"
302,8,3,11,1,"[[0,0,1,0.5,3],[1,0,0,1,3]]"
303,8,3,12,1,"[[0,0,1,0.5,3],[1,0,0,1,4]]"
304,8,3,13,1,"[[0,0,1,0.5,3],[1,0,0,1,4]]"
305,8,3,14,1,"[[0,0,1,0.5,3],[1,0,0,1,5]]"
306,8,4,5,0,"[[0,0,1,0.5,4],[0,0,1,0.5,4]]"
307,8,4,6,1,"[[0,0,1,0.5,4],[0,0,1,0.5,5]]"
308,8,4,7,-1,"[[0,0,1,0.5,4],[0,0,0,1,1]]"
309,8,4,9,-1,"[[0,0,1,0.5,4],[0,0,0,1,2]]"
310,8,4,10,-1,"[[0,0,1,0.5,4],[0,0,0,1,1]]"
311,8,4,11,1,"[[0,0,1,0.5,4],[1,0,0,1,3]]"
312,8,4,12,1,"[[0,0,1,0.5,4],[1,0,0,1,4]]"
313,8,4,13,1,"[[0,0,1,0.5,4],[1,0,0,1,4]]"
314,8,4,14,1,"[[0,0,1,0.5,4],[1,0,0,1,5]]"
315,8,5,6,1,"[[0,0,1,0.5,4],[0,0,1,0.5,5]]"
316,8,5,7,-1,"[[0,0,1,0.5,4],[0,0,0,1,1]]"
317,8,5,9,-1,"[[0,0,1,0.5,4],[0,0,0,1,2]]"
318,8,5,10,-1,"[[0,0,1,0.5,4],[0,0,0,1,1]]"
319,8,5,11,1,"[[0,0,1,0.5,4],[1,0,0,1,3]]"
320,8,5,12,1,"[[0,0,1,0.5,4],[1,0,0,1,4]]"
321,8,5,13,1,"[[0,0,1,0.5,4],[1,0,0,1,4]]"
322,8,5,14,1,"[[0,0,1,0.5,4],[1,0,0,1,5]]"
323,8,6,7,-1,"[[0,0,1,0.5,5],[0,0,0,1,1]]"
324,8,6,9,-1,"[[0,0,1,0.5,5],[0,0,0,1,2]]"
325,8,6,10,-1,"[[0,0,1,0.5,5],[0,0,0,1,1]]"
326,8,6,11,1,"[[0,0,1,0.5,5],[1,0,0,1,3]]"
327,8,6,12,1,"[[0,0,1,0.5,5],[1,0,0,1,4]]"
328,8,6,13,1,"[[0,0,1,0.5,5],[1,0,0,1,4]]"
329,8,6,14,1,"[[0,0,1,0.5,5],[1,0,0,1,5]]"
330,8,7,9,1,"[[0,0,0,1,1],[0,0,0,1,2]]"
331,8,7,10,0,"[[0,0,0,1,1],[0,0,0,1,1]]"
332,8,7,11,1,"[[0,0,0,1,1],[1,0,0,1,3]]"
333,8,7,12,1,"[[0,0,0,1,1],[1,0,0,1,4]]"
334,8,7,13,1,"[[0,0,0,1,1],[1,0,0,1,4]]"
335,8,7,14,1,"[[0,0,0,1,1],[1,0,0,1,5]]"
336,8,9,10,-1,"[[0,0,0,1,2],[0,0,0,1,1]]"
337,8,9,11,1,"[[0,0,0,1,2],[1,0,0,1,3]]"
338,8,9,12,1,"[[0,0,0,1,2],[1,0,0,1,4]]"
339,8,9,13,1,"[[0,0,0,1,2],[1,0,0,1,4]]"
340,8,9,14,1,"[[0,0,0,1,2],[1,0,0,1,5]]"
341,8,10,11,1,"[[0,0,0,1,1],[1,0,0,1,3]]"
342,8,10,12,1,"[[0,0,0,1,1],[1,0,0,1,4]]"
343,8,10,13,1,"[[0,0,0,1,1],[1,0,0,1,4]]"
344,8,10,14,1,"[[0,0,0,1,1],[1,0,0,1,5]]"
345,8,11,12,1,"[[1,0,0,1,3],[1,0,0,1,4]]"
346,8,11,13,1,"[[1,0,0,1,3],[1,0,0,1,4]]"
347,8,11,14,1,"[[1,0,0,1,3],[1,0,0,1,5]]"
