tool,pid,dataset,session,index,action,time,data,fields,fields_count,is_aggregated,vars,vars_count,selected_fields,selected_fields_count,selected_vars,selected_vars_count,has_extra_field,isDrilldown,shorthand,spec,marktype,tooltip_count,hovered_data,bookmark_removed
polestar,412,Movies,1,447,BOOKMARK_REMOVE,3/13/2015 22:34:00,"""mark=point|x=US_Gross,Q|y=Running_Time_min,Q""","Running_Time_min,Q|US_Gross,Q",2,FALSE,"Running_Time_min,US_Gross",2,,,,,,,"mark=point|x=US_Gross,Q|y=Running_Time_min,Q","{""marktype"":""point"",""enc"":{""x"":{""type"":""Q"",""name"":""US_Gross""},""y"":{""type"":""Q"",""name"":""Running_Time_min""}}}",point,,,
polestar,412,Movies,1,556,BOOKMARK_ADD,3/13/2015 22:39:00,"""mark=point|x=Major_Genre,O|y=avg_Rotten_Tomatoes_Rating,Q|color=count_*,Q""","count_*,Q|Major_Genre,O|avg_Rotten_Tomatoes_Rating,Q",3,TRUE,"Major_Genre,Rotten_Tomatoes_Rating",2,,,,,,,"mark=point|x=Major_Genre,O|y=avg_Rotten_Tomatoes_Rating,Q|color=count_*,Q","{""marktype"":""point"",""enc"":{""x"":{""type"":""O"",""name"":""Major_Genre""},""y"":{""type"":""Q"",""name"":""Rotten_Tomatoes_Rating"",""aggr"":""avg""},""color"":{""type"":""Q"",""name"":""*"",""aggr"":""count""}}}",point,,,FALSE
polestar,412,Movies,1,598,BOOKMARK_ADD,3/13/2015 22:40:00,"""mark=point|x=Source,O|y=avg_Rotten_Tomatoes_Rating,Q|color=count_*,Q""","count_*,Q|avg_Rotten_Tomatoes_Rating,Q|Source,O",3,TRUE,"Rotten_Tomatoes_Rating,Source",2,,,,,,,"mark=point|x=Source,O|y=avg_Rotten_Tomatoes_Rating,Q|color=count_*,Q","{""marktype"":""point"",""enc"":{""x"":{""type"":""O"",""name"":""Source""},""y"":{""type"":""Q"",""name"":""Rotten_Tomatoes_Rating"",""aggr"":""avg""},""color"":{""type"":""Q"",""name"":""*"",""aggr"":""count""}}}",point,,,FALSE
polestar,412,Movies,1,612,BOOKMARK_ADD,3/13/2015 22:40:00,"""mark=point|x=month_Release_Date,T|y=avg_Rotten_Tomatoes_Rating,Q|color=count_*,Q""","count_*,Q|avg_Rotten_Tomatoes_Rating,Q|month_month_Release_Date,T",3,TRUE,"Rotten_Tomatoes_Rating,month_Release_Date",2,,,,,,,"mark=point|x=month_month_Release_Date,T|y=avg_Rotten_Tomatoes_Rating,Q|color=count_*,Q","{""marktype"":""point"",""enc"":{""x"":{""type"":""T"",""name"":""month_Release_Date"",""fn"":""month""},""y"":{""type"":""Q"",""name"":""Rotten_Tomatoes_Rating"",""aggr"":""avg""},""color"":{""type"":""Q"",""name"":""*"",""aggr"":""count""}}}",point,,,FALSE
polestar,412,Movies,1,631,BOOKMARK_ADD,3/13/2015 22:41:00,"""mark=point|x=avg_Rotten_Tomatoes_Rating,Q|y=Running_Time_min,Q|color=count_*,Q""","count_*,Q|avg_Rotten_Tomatoes_Rating,Q|Running_Time_min,Q",3,TRUE,"Rotten_Tomatoes_Rating,Running_Time_min",2,,,,,,,"mark=point|x=avg_Rotten_Tomatoes_Rating,Q|y=Running_Time_min,Q|color=count_*,Q","{""marktype"":""point"",""enc"":{""x"":{""type"":""Q"",""name"":""Rotten_Tomatoes_Rating"",""aggr"":""avg""},""y"":{""type"":""Q"",""name"":""Running_Time_min""},""color"":{""type"":""Q"",""name"":""*"",""aggr"":""count""}}}",point,,,FALSE
polestar,412,Movies,1,709,BOOKMARK_ADD,3/13/2015 22:44:00,"""mark=point|x=avg_Rotten_Tomatoes_Rating,Q|y=IMDB_Rating,Q|color=count_*,Q""","count_*,Q|IMDB_Rating,Q|avg_Rotten_Tomatoes_Rating,Q",3,TRUE,"IMDB_Rating,Rotten_Tomatoes_Rating",2,,,,,,,"mark=point|x=avg_Rotten_Tomatoes_Rating,Q|y=IMDB_Rating,Q|color=count_*,Q","{""marktype"":""point"",""enc"":{""x"":{""type"":""Q"",""name"":""Rotten_Tomatoes_Rating"",""aggr"":""avg""},""y"":{""type"":""Q"",""name"":""IMDB_Rating""},""color"":{""type"":""Q"",""name"":""*"",""aggr"":""count""}}}",point,,,FALSE
voyager,412,Birdstrikes,2,61,BOOKMARK_ADD,3/13/2015 22:59:00,"""mark=bar|x=count_*,Q|y=When__Phase_of_flight,O""","count_*,Q|When__Phase_of_flight,O",2,TRUE,When__Phase_of_flight,1,,0,,0,TRUE,FALSE,"mark=bar|x=count_*,Q|y=When__Phase_of_flight,O","{""marktype"":""bar"",""enc"":{""x"":{""type"":""Q"",""name"":""*"",""aggr"":""count""},""y"":{""type"":""O"",""name"":""When__Phase_of_flight""}}}",bar,,,FALSE
voyager,412,Birdstrikes,2,120,BOOKMARK_ADD,3/13/2015 23:00:00,"""mark=line|x=year_Flight_Date,T|y=count_*,Q""","count_*,Q|year_year_Flight_Date,T",2,TRUE,year_Flight_Date,1,,0,,0,TRUE,FALSE,"mark=line|x=year_year_Flight_Date,T|y=count_*,Q","{""marktype"":""line"",""enc"":{""x"":{""type"":""T"",""name"":""year_Flight_Date"",""fn"":""year""},""y"":{""type"":""Q"",""name"":""*"",""aggr"":""count""}}}",line,,,FALSE
voyager,412,Birdstrikes,2,145,BOOKMARK_ADD,3/13/2015 23:01:00,"""mark=bar|x=count_*,Q|y=Aircraft__Airline_Operator,O""","count_*,Q|Aircraft__Airline_Operator,O",2,TRUE,Aircraft__Airline_Operator,1,,0,,0,TRUE,FALSE,"mark=bar|x=count_*,Q|y=Aircraft__Airline_Operator,O","{""marktype"":""bar"",""enc"":{""x"":{""type"":""Q"",""name"":""*"",""aggr"":""count""},""y"":{""type"":""O"",""name"":""Aircraft__Airline_Operator""}}}",bar,,,FALSE
voyager,412,Birdstrikes,2,170,BOOKMARK_ADD,3/13/2015 23:02:00,"""mark=tick|x=Cost__Other,Q|y=Effect__Amount_of_damage,O""","Cost__Other,Q|Effect__Amount_of_damage,O",2,FALSE,"Cost__Other,Effect__Amount_of_damage",2,"Effect__Amount_of_damage,O",1,Effect__Amount_of_damage,1,TRUE,FALSE,"mark=tick|x=Cost__Other,Q|y=Effect__Amount_of_damage,O","{""marktype"":""tick"",""enc"":{""x"":{""type"":""Q"",""name"":""Cost__Other""},""y"":{""type"":""O"",""name"":""Effect__Amount_of_damage""}}}",tick,,,TRUE
